url,length,entropy,percent_num,num_special,bao_chi,chinh_tri,co_bac,khieu_dam,tpmt,con_lai,label
th9954 com,6,2.252,66.667,0,0,0,0,0,0,1,1
holztek com,7,2.807,0,0,0,0,0,0,0,1,0
espace edu,6,2.252,0,0,0,0,0,0,0,1,0
tranhnhadep com,11,2.914,0,0,0,0,0,0,1,0,0
aioncard,8,2.75,0,0,0,0,0,0,0,1,0
s88677 com,6,1.918,83.333,0,0,0,0,0,0,1,1
mocst gov,5,2.322,0,0,0,0,0,0,0,1,0
longminh,8,2.75,0,0,0,0,0,0,1,0,0
maytinhg8 com,9,3.17,11.111,0,1,0,0,0,0,0,0
sabacasino net,10,2.646,0,0,0,0,1,0,0,0,1
tongdaixelientinh click,17,3.293,0,0,1,0,0,0,0,0,0
12luxury com,8,2.75,25,0,0,0,0,0,0,1,1
bocplasticuytin-gt8 net,19,3.787,5.263,1,1,0,0,0,0,0,0
fbs52 com,5,2.322,40,0,0,0,0,0,0,1,1
sanxiangshu com,11,2.914,0,0,0,0,0,0,1,0,1
covid19 gov,7,2.807,28.571,0,0,0,0,0,0,1,0
dangkyloto188 work,13,3.393,23.077,0,0,0,0,0,0,1,1
maytinhsinhvien,15,3.14,0,0,1,0,0,0,0,0,0
v-vay com,5,1.922,0,1,0,0,0,0,0,1,1
dentrangtridep com,14,3.093,0,0,0,0,0,0,1,0,0
mb247a bond,6,2.585,50,0,0,0,0,0,0,1,1
conganbacninh,13,2.777,0,0,0,0,0,0,0,1,0
cltx5s com,6,2.585,16.667,0,0,0,0,0,0,1,1
tonsatthepbaoloc com,16,3.281,0,0,1,0,0,0,0,0,0
ciren gov,5,2.322,0,0,0,0,0,0,0,1,0
vayonline247 info,12,3.418,25,0,1,0,0,0,0,0,1
pqwefg com,6,2.585,0,0,0,0,0,0,0,1,1
fcb8 vip,4,2,25,0,0,0,0,0,0,1,1
salem,5,2.322,0,0,0,0,0,0,0,1,1
sara edu,4,1.5,0,0,0,0,0,0,0,1,0
huyendienbien gov,13,2.815,0,0,0,0,0,0,0,1,0
online-abc-vn com,13,3.181,0,2,1,0,0,0,0,0,1
sd3796 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
dulichtuyenquang gov,16,3.578,0,0,0,0,0,0,1,0,0
hotlive3 vip,8,3,12.5,0,0,0,0,0,0,1,1
jupiterperfume info,14,3.039,0,0,0,0,0,0,1,0,1
luoibaovehoaphat com,16,3.281,0,0,1,0,0,0,0,0,0
vnptepay com,8,2.75,0,0,0,0,0,0,0,1,0
tuskrobots,10,2.722,0,0,0,0,0,0,0,1,0
yn1656 com,6,2.252,66.667,0,0,0,0,0,0,1,1
sunnyenglish,12,3.022,0,0,0,0,0,0,0,1,1
phutungotothanhtin com,18,2.975,0,0,1,0,0,0,0,0,0
caodangmynghevn edu,15,3.323,0,0,0,0,0,0,1,0,1
truykich shop,8,3,0,0,0,0,0,0,0,1,1
guestpost io,9,2.725,0,0,0,0,0,0,0,1,0
dt174 com,5,2.322,60,0,0,0,0,0,0,1,1
dienlanhmienbac24h com,18,3.461,11.111,0,1,0,0,0,0,0,0
motortourdanang com,15,3.057,0,0,0,0,0,0,1,0,1
sacombank-sbr com,13,3.239,0,1,0,0,0,0,0,1,1
thegioithietbiso,16,2.828,0,0,0,0,0,0,0,1,0
sd3744 xyz,6,2.252,66.667,0,0,0,0,0,0,1,1
check-scam info,10,2.846,0,1,0,0,0,0,0,1,1
okvay,5,2.322,0,0,0,0,0,0,0,1,1
maydonggoibaobi,15,3.057,0,0,1,0,0,0,0,0,0
congtytaichinhdaukhipvf com,23,3.762,0,0,0,0,0,0,0,1,1
credigo,7,2.807,0,0,0,0,0,0,0,1,0
maytinhcamtay com,13,2.873,0,0,1,0,0,0,0,0,0
maytinhvietnam,14,3.093,0,0,1,0,0,0,0,0,0
bblive5 vip,7,2.522,14.286,0,0,0,0,0,0,1,1
songvuikhoe24h online,14,3.522,14.286,0,1,0,0,0,0,0,1
vkt8866 com,7,2.236,57.143,0,0,0,0,0,0,1,1
game77 me,6,2.252,33.333,0,0,0,1,0,0,0,1
denbaodong,10,2.722,0,0,1,0,0,0,0,0,0
batdongsanvungvendalat com,22,3.369,0,0,0,0,0,0,1,0,0
kimcuong1s com,10,3.322,10,0,0,0,0,0,1,0,1
202092 com,6,1.459,100,0,0,0,0,0,0,1,1
vito,4,2,0,0,0,0,0,0,0,1,0
kingbridal,10,3.122,0,0,0,0,0,0,0,1,0
hotlive046 vip,10,3.322,30,0,0,0,0,0,0,1,1
hotlive42 net,9,3.17,22.222,0,0,0,0,0,0,1,1
trumpswap io,9,2.948,0,0,0,0,0,0,0,1,1
dsvh gov,4,2,0,0,0,0,0,0,0,1,0
vtv4,4,1.5,25,0,1,0,0,0,0,0,0
baovetaithuduc com,14,3.379,0,0,1,0,0,0,0,0,0
empirespa,9,2.725,0,0,0,0,0,0,0,1,0
iofvideo xyz,8,2.5,0,0,0,0,0,0,1,0,1
meetup17 com,8,2.75,25,0,0,0,0,0,0,1,1
tpbankdonxuan click,13,3.181,0,0,0,0,0,0,1,0,1
jmcp net,4,2,0,0,0,0,0,0,0,1,1
huonglieudongduong,18,3.002,0,0,0,0,0,0,1,0,0
cltxthucthuc22 com,14,2.7,14.286,0,0,0,0,0,0,1,1
lightingproduct,15,3.507,0,0,1,0,0,0,0,0,0
uef edu,3,1.585,0,0,0,0,0,0,0,1,0
canhbaosos tk,10,2.722,0,0,1,0,0,0,0,0,1
yh282811 com,8,2.25,75,0,0,0,0,0,0,1,1
sls6666 com,7,1.379,57.143,0,0,0,0,0,0,1,1
salobank,8,2.75,0,0,0,0,0,0,0,1,1
knightfrank,11,3.096,0,0,0,0,0,0,0,1,0
xuongmaythethao,15,3.374,0,0,0,0,0,0,1,0,0
bitrueexchange com,14,3.468,0,0,0,0,0,0,1,0,1
annamdoor,9,2.503,0,0,0,0,0,0,0,1,0
farmforfun xyz,10,2.646,0,0,0,0,0,0,1,0,1
trathongtindoanhnghiep com,22,3.3,0,0,1,0,0,0,0,0,0
baohotranlehuy com,14,3.379,0,0,1,0,0,0,0,0,0
vaynhanh5s online,10,2.722,10,0,0,0,0,0,0,1,1
choiboaclub com,11,2.914,0,0,0,0,1,0,0,0,1
w88d com,4,1.5,50,0,0,0,0,0,0,1,1
otoeuro4 com,8,2.406,12.5,0,0,0,0,0,1,0,1
fintechnews,11,3.096,0,0,1,0,0,0,0,0,0
baoquankhu1,11,3.096,9.091,0,1,0,0,0,0,0,0
01138400 com,8,2.156,100,0,0,0,0,0,0,1,1
rtyrtyv com,7,1.95,0,0,0,0,0,0,0,1,1
finstore,8,3,0,0,0,0,0,0,0,1,0
agribanks space,9,2.948,0,0,0,0,0,0,0,1,1
kz566 com,5,1.922,60,0,0,0,0,0,0,1,1
pine com,4,2,0,0,0,0,0,0,0,1,0
xsmm84 com,6,2.252,33.333,0,0,0,0,0,0,1,1
hưnfood,7,2.522,0,0,0,0,0,0,1,0,0
dogohoanghai,12,2.689,0,0,0,0,0,0,1,0,0
lienquanmbvn com,12,3.189,0,0,0,0,0,0,0,1,1
tinhbotnghethuhuong com,19,3.011,0,0,1,0,0,0,0,0,0
homemix,7,2.522,0,0,0,0,0,0,0,1,0
duankienhungluxury com,18,3.461,0,0,0,0,0,0,1,0,0
teuforklift,11,3.096,0,0,0,0,0,0,1,0,0
vndcoin biz,7,2.522,0,0,0,0,0,0,0,1,1
shopee5566 com,10,2.722,40,0,0,0,0,0,1,0,1
sd1657 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
cantinhtien,11,2.664,0,0,1,0,0,0,0,0,0
skt518 com,6,2.585,50,0,0,0,0,0,0,1,1
choi789 fun,7,2.807,42.857,0,0,0,0,0,1,0,1
baoveanninhlonghai com,18,3.128,0,0,1,0,0,0,0,0,0
xing com,4,2,0,0,0,0,0,0,0,1,0
dailythueminhchau,17,3.455,0,0,1,0,0,0,0,0,0
nhaphanguytin,13,3.027,0,0,1,0,0,0,0,0,0
tinhtam com,7,2.522,0,0,1,0,0,0,0,0,0
vn-ic info,5,2.322,0,1,0,0,0,0,0,1,1
avpmp3 vip,6,2.252,16.667,0,0,0,0,0,0,1,1
shopcuadt com,9,3.17,0,0,0,0,0,0,0,1,1
freesp vip,6,2.252,0,0,0,0,0,0,0,1,1
baoviettoancau com,14,3.182,0,0,1,0,0,0,0,0,0
trungtinlaptop com,14,3.182,0,0,1,0,0,0,0,0,0
congtybaovesaigon com,17,3.455,0,0,1,0,0,0,0,0,0
bienbaocongtrinh com,16,3.328,0,0,1,0,0,0,0,0,0
bk8app net,6,2.252,16.667,0,0,0,0,0,0,1,1
vtt edu,3,0.918,0,0,0,0,0,0,0,1,1
thietbiytegiabao com,16,3.031,0,0,1,0,0,0,0,0,0
tpbcredit online,9,2.948,0,0,0,0,0,0,1,0,1
tramhuongtinhtammoc com,19,3.326,0,0,1,0,0,0,0,0,0
67rtmzi cfd,7,2.807,28.571,0,0,0,0,0,0,1,1
lazada8 net,7,2.128,14.286,0,0,0,0,0,0,1,1
nature94standwould live,18,3.614,11.111,0,0,0,0,0,0,1,1
shopclone net,9,2.948,0,0,0,0,0,0,1,0,1
